ncbigene_id	name	chr	start	stop
517	ATP5MC2	12	53665165	53677545
518	ATP5MC3	2	175176257	175181709
520	ATP5MC2P1	1	209267649	209268282
521	ATP5ME	4	672435	674275
522	ATP5PF	21	25724499	25735652
523	ATP6V1A	3	113747034	113812055
525	ATP6V1B1	2	70935899	70965430
526	ATP6V1B2	8	20197374	20226851
527	ATP6V0C	16	2513725	2520217
528	ATP6V1C1	8	103021082	103073050
529	ATP6V1E1	22	17592135	17628821
533	ATP6V0B	1	43974959	43978294
534	ATP6V1G2	6	31544443	31546741
535	ATP6V0A1	17	42458873	42522578
537	ATP6AP1	X	154428668	154436515
538	ATP7A	X	77910692	78050394
539	ATP5PO	21	33903452	33915803
540	ATP7B	13	51932668	52012129
541	ALDH7A1P1	5	77290183	77291996
542	ALDH7A1P2	2	172893762	172894382
543	ALDH7A1P3	7	150541563	150542125
544	ALDH7A1P4	10	62740989	62741393
545	ATR	3	142449234	142578792
546	ATRX	X	77504879	77786234
547	KIF1A	2	240713766	240821402
549	AUH	9	91213822	91361944
550	AUP1	2	74526651	74529705
551	AVP	20	3082555	3093520
552	AVPR1A	12	63142758	63151200
553	AVPR1B	1	206106935	206117387
554	AVPR2	X	153902624	153907165
558	AXL	19	41219222	41261765
563	AZGP1	7	99966729	99976030
566	AZU1	19	827836	832017
567	B2M	15	44711491	44718144
570	BAAT	9	101360416	101385005
571	BACH1	21	29298921	29361893
572	BAD	11	64269827	64284703
573	BAG1	9	33252470	33264707
575	ADGRB1	8	142449648	142545008
576	ADGRB2	1	31727104	31764339
577	ADGRB3	6	68635281	69389505
578	BAK1	6	33572551	33580295
579	NKX3-2	4	13540829	13544507
580	BARD1	2	214725644	214809682
581	BAX	19	48954824	48961797
582	BBS1	11	66510634	66533597
583	BBS2	16	56470402	56520094
585	BBS4	15	72686203	72738475
586	BCAT1	12	24810023	24949100
587	BCAT2	19	48795063	48811028
590	BCHE	3	165772903	165837422
593	BCKDHA	19	41397817	41425001
594	BCKDHB	6	80106609	80469087
595	CCND1	11	69641155	69654473
596	BCL2	18	63123345	63320279
597	BCL2A1	15	79960891	79971195
598	BCL2L1	20	31664451	31723962
599	BCL2L2	14	23306832	23311750
600	BAK1P1	20	32688929	32691053
601	BAK1P2	11	130545542	130547653
602	BCL3	19	44742619	44760043
604	BCL6	3	187721376	187745471
605	BCL7A	12	122021883	122062043
606	NBEAP1	15	20669467	20756150
607	BCL9	1	147541500	147626216
608	TNFRSF17	16	11965209	11968067
610	HCN2	19	589880	617158
611	OPN1SW	7	128772484	128775793
613	BCR	22	23180508	23318036
616	BCRP4	22	22630064	22636583
617	BCS1L	2	218659682	218663442
618	BCYRN1	2	47335314	47335513
619	BCYRN1P1	X	139720578	139720774
622	BDH1	3	197509782	197573342
623	BDKRB1	14	96256209	96264762
624	BDKRB2	14	96204838	96244163
627	BDNF	11	27654892	27722029
629	CFB	6	31946094	31952083
631	BFSP1	20	17493904	17569219
632	BGLAP	1	156242183	156243316
633	BGN	X	153494979	153509545
634	CEACAM1	19	42507305	42528481
635	BHMT	5	79111808	79132287
636	BICD1	12	32106772	32383636
637	BID	22	17734137	17774664
638	BIK	22	43110749	43129711
639	PRDM1	6	106046728	106109937
640	BLK	8	11493990	11564598
641	BLM	15	90717345	90816165
642	BLMH	17	30248202	30291943
643	CXCR5	11	118883891	118897786
644	BLVRA	7	43758121	43807341
645	BLVRB	19	40447767	40465744
646	BNC1	15	83255883	83284663
648	BMI1	10	22321098	22331483
649	BMP1	8	22165371	22212325
650	BMP2	20	6767685	6780245
651	BMP3	4	81030707	81057626
652	BMP4	14	53949735	53956890
653	BMP5	6	55753652	55875589
654	BMP6	6	7726098	7881727
655	BMP7	20	57168752	57266640
656	BMP8B	1	39757181	39788864
657	BMPR1A	10	86755785	86927968
658	BMPR1B	4	94757954	95158452
659	BMPR2	2	202376309	202567750
660	BMX	X	15500776	15556518
661	POLR3D	8	22245103	22254600
662	BNIP1	5	173144446	173164386
663	BNIP2	15	59659145	59689319
664	BNIP3	10	131967683	131981922
665	BNIP3L	8	26383053	26413126
666	BOK	2	241558744	241574130
667	DST	6	56457995	56954829
668	FOXL2	3	138944223	138947136
669	BPGM	7	134646852	134679815
670	BPHL	6	3118375	3153598
671	BPI	20	38304155	38337504
672	BRCA1	17	43044294	43125363
673	BRAF	7	140713327	140924928
675	BRCA2	13	32315507	32400267
676	BRDT	1	91949370	92014427
677	ZFP36L1	14	68787654	68796242
678	ZFP36L2	2	43222401	43226605
680	BRS3	X	136487946	136493779
682	BSG	19	571282	583492
683	BST1	4	15701865	15774177
684	BST2	19	17402938	17405629
685	BTC	4	74744758	74794717
686	BTD	3	15601351	15722515
687	KLF9	9	70384603	70414656
688	KLF5	13	73054975	73077537
689	BTF3	5	73498441	73505666
690	BTF3P11	13	76928450	76929089
693	BTF3P1	8	51721255	51723045
694	BTG1	12	92140277	92145845
695	BTK	X	101349449	101390795
696	BTN1A1	6	26500302	26510424
699	BUB1	2	110637527	110678062
701	BUB1B	15	40161068	40221122
705	BYSL	6	41921498	41933045
706	TSPO	22	43151558	43163241
708	C1QBP	17	5432776	5439154
710	SERPING1	11	57597684	57614847
711	ERC2-IT1	3	55657205	55659468
712	C1QA	1	22636462	22639677
713	C1QB	1	22653235	22661636
714	C1QC	1	22643632	22648107
715	C1R	12	7080218	7092444
716	C1S	12	7060717	7071031
717	C2	6	31897782	31945671
718	C3	19	6677703	6720649
719	C3AR1	12	8056843	8066358
720	C4A	6	31982056	32002680
721	C4B	6	32014794	32035417
722	C4BPA	1	207104231	207144971
724	C4BPAP2	1	207225797	207229201
725	C4BPB	1	207088794	207099992
726	CAPN5	11	77066970	77126154
727	C5	9	120952334	121074864
728	C5AR1	19	47309860	47322065
729	C6	5	41142115	41261485
730	C7	5	40909496	40984642
731	C8A	1	56854795	56918222
732	C8B	1	56929206	56974382
733	C8G	9	136944869	136946980
734	OSGIN2	8	89901867	89935613
735	C9	5	39284139	39364494
738	VPS51	11	65096213	65111861
740	MRPL49	11	65122182	65127370
741	ZNHIT2	11	65116402	65117700
744	MPPED2	11	30384078	30586994
745	MYRF	11	61752616	61788517
746	TMEM258	11	61788948	61792598
747	DAGLA	11	61680183	61747001
750	GAS8-AS1	16	90028907	90029900
752	FMNL1	17	45220267	45247321
753	LDLRAD4	18	13217605	13652753
754	PTTG1IP	21	44849597	44873689
755	CFAP410	21	44328943	44339416
757	TMEM50B	21	33432485	33480003
758	MPPED1	22	43412013	43507847
759	CA1	8	85327607	85378112
760	CA2	8	85464006	85481492
761	CA3	8	85438858	85449039
762	CA4	17	60149941	60179020
763	CA5A	16	87881548	87936574
764	CA5AP1	16	29618668	29636330
765	CA6	1	8945867	8975091
766	CA7	16	66844413	66854148
767	CA8	8	60185411	60281399
768	CA9	9	35673808	35681158
770	CA11	19	48637945	48646186
771	CA12	15	63321377	63381845
773	CACNA1A	19	13206441	13506478
774	CACNA1B	9	137877781	138124618
775	CACNA1C	12	1969551	2697949
776	CACNA1D	3	53494610	53813732
777	CACNA1E	1	181317711	181808083
778	CACNA1F	X	49205062	49233403
779	CACNA1S	1	201039508	201112452
780	DDR1	6	30880957	30900155
781	CACNA2D1	7	81946443	82443955
782	CACNB1	17	39173452	39197668
783	CACNB2	10	18140423	18545880
784	CACNB3	12	48814431	48828940
785	CACNB4	2	151832770	152099166
786	CACNG1	17	67044553	67056796
788	SLC25A20	3	48856925	48898881
789	SLC25A20P1	6	52246373	52248103
790	CAD	2	27217368	27243942
793	CALB1	8	90058607	90082878
794	CALB2	16	71358722	71390437
795	S100G	X	16649786	16654673
796	CALCA	11	14966667	14972360
797	CALCB	11	15073592	15078636
798	CALCP	11	14907498	14907998
799	CALCR	7	93424485	93574723
800	CALD1	7	134779628	134970728
801	CALM1	14	90396501	90408267
802	CALM1P1	X	95499607	95500111
804	CALM1P2	7	55259681	55260293
805	CALM2	2	47160081	47176935
806	CALM2P2	10	70163612	70164740
807	CALM2P3	13	41170587	41171223
808	CALM3	19	46601073	46610781
810	CALML3	10	5524960	5526770
811	CALR	19	12938608	12944488
813	CALU	7	128739358	128773399
814	CAMK4	5	111223582	111498502
815	CAMK2A	5	150219490	150290129
816	CAMK2B	7	44217153	44326166
817	CAMK2D	4	113451031	113762176
818	CAMK2G	10	73812500	73874581
819	CAMLG	5	134738547	134752156
820	CAMP	3	48223494	48225484
821	CANX	5	179678645	179731640
822	CAPG	2	85394752	85418466
823	CAPN1	11	65181372	65212005
824	CAPN2	1	223701596	223776017
825	CAPN3	15	42359500	42412316
826	CAPNS1	19	36140065	36150352
827	CAPN6	X	111245098	111270482
828	CAPS	19	5914253	5916210
829	CAPZA1	1	112619774	112671615
830	CAPZA2	7	116862586	116922048
831	CAST	5	96662036	96774682
832	CAPZB	1	19338774	19485538
833	CARS1	11	3000928	3057422
834	CASP1	11	105025442	105035590
835	CASP2	7	143288350	143307695
836	CASP3	4	184627695	184649446
837	CASP4	11	104942865	104968595
838	CASP5	11	104994242	105023901
839	CASP6	4	109688627	109703444
840	CASP7	10	113679193	113730908
841	CASP8	2	201233442	201287710
842	CASP9	1	15491400	15524911
843	CASP10	2	201182884	201229405
844	CASQ1	1	160190574	160201885
845	CASQ2	1	115700020	115768713
846	CASR	3	122183667	122291628
847	CAT	11	34438933	34472059
857	CAV1	7	116525008	116561184
858	CAV2	7	116499737	116508540
859	CAV3	3	8733801	8746757
860	RUNX2	6	45328329	45551081
861	RUNX1	21	34787800	35049333
862	RUNX1T1	8	91954966	92103450
863	CBFA2T3	16	88874857	88977206
864	RUNX3	1	24899510	24965157
865	CBFB	16	67029148	67101057
866	SERPINA6	14	94304247	94323335
867	CBL	11	119206338	119308148
868	CBLB	3	105655460	105869551
869	CBLN1	16	49277916	49281837
871	SERPINH1	11	75562252	75572782
873	CBR1	21	36070023	36073163
874	CBR3	21	36134900	36146561
875	CBS	21	43053189	43076872
881	CCIN	9	36169387	36171333
883	KYAT1	9	128832941	128882522
885	CCK	3	42257825	42266184
886	CCKAR	4	26481395	26490483
887	CCKBR	11	6259837	6272126
889	KRIT1	7	92198968	92246099
890	CCNA2	4	121816443	121823882
891	CCNB1	5	69167149	69178244
892	CCNC	6	99542386	99568813
894	CCND2	12	4273761	4305352
895	CCND2P1	11	63242884	63244236
896	CCND3	6	41934932	42048893
897	CCND3P1	10	30403193	30403820
898	CCNE1	19	29811990	29824311
899	CCNF	16	2429446	2458853
900	CCNG1	5	163437570	163448198
901	CCNG2	4	77157206	77170059
902	CCNH	5	87311470	87412970
904	CCNT1	12	48688457	48716706
905	CCNT2	2	134918809	134959341
908	CCT6A	7	56051764	56063988
909	CD1A	1	158248335	158258268
910	CD1B	1	158285405	158331530
911	CD1C	1	158289886	158294773
912	CD1D	1	158178029	158186426
913	CD1E	1	158353122	158357553
914	CD2	1	116754429	116769228
915	CD3D	11	118338953	118342704
916	CD3E	11	118304729	118316172
917	CD3G	11	118344343	118355160
919	CD247	1	167430639	167518541
920	CD4	12	6789527	6820798
921	CD5	11	61093962	61127851
922	CD5L	1	157827067	157841843
923	CD6	11	60971677	61020376
924	CD7	17	82314864	82320828
925	CD8A	2	86784604	86808395
926	CD8B	2	86815368	86861885
927	CD8B2	2	106487334	106544296
928	CD9	12	6199945	6238265
929	CD14	5	140631731	140633700
930	CD19	16	28931734	28939346
931	MS4A1	11	60455846	60470751
932	MS4A3	11	60056664	60071115
933	CD22	19	35329186	35347360
935	CD24P1	1	15609981	15614945
936	CD24P2	15	56071338	56074087
937	CD24P3	20	31510841	31511436
938	CD24P4	Y	18990639	18992817
939	CD27	12	6444866	6451717
940	CD28	2	203706508	203739755
941	CD80	3	119524292	119559613
942	CD86	3	122055361	122121135
943	TNFRSF8	1	12063302	12144212
944	TNFSF8	9	114893342	114930673
945	CD33	19	51211053	51240015
946	SIGLEC6	19	51517818	51531802
947	CD34	1	207880971	207911124
948	CD36	7	80602206	80679276
949	SCARB1	12	124776855	124863863
950	SCARB2	4	76158736	76213823
951	CD37	19	49334960	49340607
952	CD38	4	15778327	15853231
953	ENTPD1	10	95710900	95877265
954	ENTPD2	9	137048106	137054060
955	ENTPD6	20	25195702	25228074
956	ENTPD3	3	40387181	40428743
957	ENTPD5	14	73955328	74019325
958	CD40	20	46118241	46129857
959	CD40LG	X	136648157	136660389
960	CD44	11	35139167	35232401
961	CD47	3	108043090	108094199
962	CD48	1	160678745	160711835
963	CD53	1	110871166	110899927
965	CD58	1	116500389	116571036
966	CD59	11	33703009	33736478
967	CD63	12	55725322	55729672
968	CD68	17	7579637	7582110
969	CD69	12	9752485	9760900
970	CD70	19	6581647	6591149
971	CD72	9	35609980	35618426
972	CD74	5	150400040	150412935
973	CD79A	19	41877278	41881371
974	CD79B	17	63928739	63932330
975	CD81	11	2376179	2397401
976	ADGRE5	19	14381143	14408724
977	CD151	11	832951	838834
978	CDA	1	20589096	20618902
983	CDK1	10	60778330	60794851
984	CDK11B	1	1635224	1659618
987	LRBA	4	150264434	151015726
988	CDC5L	6	44387705	44450424
989	SEPTIN7	7	35800985	35915762
990	CDC6	17	40287877	40304656
991	CDC20	1	43358980	43363202
993	CDC25A	3	48157145	48188416
994	CDC25B	20	3786950	3806117
995	CDC25C	5	138285264	138338354
996	CDC27	17	47117702	47189294
997	CDC34	19	531719	542087
998	CDC42	1	22052708	22101359
999	CDH1	16	68737291	68835536
